time,latitude,longitude,depth,magnitude,region,rms,gap,dmin,nst,horizontalError,depthError,magError,magNst
2018-01-01 00:00:00,46.7563,-119.5889,11.59,6.01,Cascadia Zone,0.556,244.3,0.235,14,1.63,8.76,0.449,45
2018-01-01 00:00:00,14.6388,-56.1189,39.32,2.48,Caribbean Arc,0.921,306.1,1.628,112,6.72,9.19,0.364,29
2018-01-01 01:00:00,14.0203,-58.7106,33.39,2.15,Caribbean Arc,1.097,137.7,1.28,6,10.85,12.78,0.479,46
2018-01-01 07:00:00,31.2956,145.5433,42.46,2.46,Pacific Ring,0.816,35.5,1.388,86,1.35,12.61,0.012,22
2018-01-01 10:00:00,34.9439,-84.8545,17.77,2.73,New Madrid Zone,1.361,61.0,1.23,22,3.68,12.06,0.294,76
2018-01-01 21:00:00,50.8064,-165.2777,37.67,3.59,Aleutian Arc,0.935,322.3,1.447,26,13.07,10.72,0.347,27
2018-01-02 05:00:00,32.9399,146.3201,38.45,3.14,Pacific Ring,0.701,254.9,0.942,102,13.24,0.2,0.429,4
2018-01-02 09:00:00,39.5578,35.9392,24.27,5.3,Anatolian Fault,0.595,142.0,0.176,98,13.81,7.97,0.208,71
2018-01-02 11:00:00,34.8096,36.7173,20.0,2.48,Anatolian Fault,0.761,189.2,1.689,60,2.1,13.84,0.137,76
2018-01-02 21:00:00,38.8382,29.1552,10.76,2.36,Anatolian Fault,0.486,224.1,3.012,116,2.48,13.0,0.202,32
2018-01-03 20:00:00,38.4567,28.675,18.53,2.3,Anatolian Fault,1.238,339.9,4.821,39,16.59,10.21,0.402,68
2018-01-04 01:00:00,-2.8992,101.7285,35.7,2.24,Sumatra Fault,0.551,228.9,2.799,66,15.47,3.57,0.342,49
2018-01-04 22:00:00,17.268,-64.0749,38.23,2.0,Caribbean Arc,0.976,132.7,1.997,30,8.22,12.44,0.353,10
2018-01-05 22:00:00,26.1679,147.1693,43.06,2.38,Pacific Ring,1.496,89.5,3.28,111,12.03,12.01,0.488,69
2018-01-06 03:00:00,45.4573,-122.0867,31.03,4.05,Cascadia Zone,0.679,236.5,4.263,10,12.6,12.65,0.135,18
2018-01-06 12:00:00,-7.5338,100.305,44.73,2.18,Sumatra Fault,0.211,193.0,3.165,15,13.34,9.3,0.471,67
2018-01-07 01:00:00,46.1414,-124.4465,15.06,2.39,Cascadia Zone,0.898,147.9,4.494,9,0.96,13.3,0.072,3
2018-01-07 10:00:00,-2.2644,103.3838,52.59,2.08,Sumatra Fault,1.174,115.7,4.437,26,11.75,1.73,0.207,70
2018-01-07 10:00:00,50.8551,-165.0288,43.71,2.72,Aleutian Arc,0.589,43.6,3.722,69,11.49,4.37,0.409,3
2018-01-07 14:00:00,-7.148,103.5009,47.88,5.75,Sumatra Fault,0.447,326.2,4.661,87,15.34,1.46,0.262,20
2018-01-08 16:00:00,29.6039,82.2105,38.42,2.97,Himalayan Belt,0.802,217.6,1.336,28,5.55,9.39,0.082,58
2018-01-08 19:00:00,12.5599,-59.0187,10.16,2.86,Caribbean Arc,0.931,30.2,4.701,59,13.71,12.82,0.125,44
2018-01-08 23:00:00,57.1482,-171.7934,71.0,2.01,Aleutian Arc,1.164,271.3,3.947,111,2.45,3.56,0.453,16
2018-01-09 09:00:00,39.5064,-93.3492,11.11,3.65,New Madrid Zone,1.329,253.1,0.376,107,9.8,9.82,0.442,70
2018-01-09 22:00:00,26.332,146.3098,47.9,2.12,Pacific Ring,0.645,54.3,4.317,111,9.7,6.44,0.274,20
2018-01-09 23:00:00,38.3703,36.9202,20.82,2.67,Anatolian Fault,0.514,306.4,2.149,53,9.84,4.37,0.251,31
2018-01-10 04:00:00,35.4256,31.8214,20.2,2.1,Anatolian Fault,1.039,231.8,2.06,61,8.37,0.46,0.174,16
2018-01-10 11:00:00,32.7042,153.9782,25.48,2.42,Pacific Ring,1.299,332.6,1.404,49,8.64,6.21,0.203,39
2018-01-10 16:00:00,30.5533,82.355,27.43,2.56,Himalayan Belt,0.156,63.3,4.648,106,9.99,2.78,0.082,22
2018-01-12 02:00:00,-6.9501,106.9073,35.41,2.11,Sumatra Fault,0.672,227.8,1.668,101,14.36,5.32,0.37,75
2018-01-12 04:00:00,30.4303,153.3917,21.89,2.14,Pacific Ring,0.495,324.0,1.389,55,3.66,1.83,0.099,19
